==================================================
THRESHOLD PERFORMANCE SUMMARY
==================================================
Threshold  Weighted Score  Performance 
----------------------------------------
8          366.9828        OPTIMAL     
11         372.8693        #2          
12         373.3056        #3          
13         373.5188        #4          
9          378.9347        #5          
7          380.0537        #6          
6          380.7319        #7          
4          384.0679        #8          
10         385.3168        #9          
5          387.1055        #10         
14         398.1808        #11         
27         403.1115        #12         
23         406.1588        #13         
21         409.0386        #14         
3          410.8661        #15         
28         411.8615        #16         
25         414.0981        #17         
26         415.4262        #18         
22         415.8371        #19         
20         416.5596        #20         
1          417.5239        #21         
19         419.6949        #22         
15         420.1583        #23         
30         421.4370        #24         
29         421.6991        #25         
24         422.8225        #26         
2          427.2428        #27         
31         428.5170        #28         
33         428.6247        #29         
44         432.4695        #30         
42         433.7236        #31         
41         433.9890        #32         
43         436.2962        #33         
34         438.1492        #34         
39         438.5446        #35         
40         441.3663        #36         
59         443.4225        #37         
57         443.7891        #38         
32         444.8765        #39         
16         448.9795        #40         
38         453.7941        #41         
60         455.4786        #42         
36         462.1255        #43         
35         471.5662        #44         
37         474.5964        #45         
58         476.1522        #46         
47         476.6355        #47         
45         479.0653        #48         
53         479.8378        #49         
48         490.8625        #50         
49         492.8627        #51         
46         495.1045        #52         
55         496.7373        #53         
56         497.7969        #54         
52         504.1546        #55         
61         504.4921        #56         
64         506.0738        #57         
62         506.1078        #58         
50         510.0336        #59         
54         510.5761        #60         
18         512.4302        #61         
63         514.0045        #62         
17         516.4424        #63         
51         517.1352        #64         

Global Optimal S = 8
